country,n_rule_share,rule_to_norm_ratio,strong_deontic_share
Iceland,0.1111111111111111,0.1818181818181818,0.3333333333333333
Russia,0.0555555555555555,0.1111111111111111,0.3888888888888889
Kazakhstan,0.0526315789473684,0.1428571428571428,0.4210526315789473
European Union,0.0421607378129117,0.05414551607445,0.7220026350461133
Argentina,0.0394736842105263,0.12,0.1842105263157894
France,0.0388349514563106,0.064516129032258,0.3786407766990291
Switzerland,0.0384615384615384,0.1176470588235294,0.4807692307692308
Bulgaria,0.0363636363636363,0.1176470588235294,0.2
Mauritius,0.0333333333333333,0.0454545454545454,0.7333333333333333
Costa Rica,0.0294117647058823,0.0769230769230769,0.1470588235294117
Japan,0.0256410256410256,0.0439560439560439,0.4423076923076923
Colombia,0.0256410256410256,0.064516129032258,0.2051282051282051
Kenya,0.0238095238095238,0.0416666666666666,0.2619047619047619
Australia,0.0205479452054794,0.046875,0.2294520547945205
Thailand,0.0196078431372549,0.0277777777777777,0.5784313725490197
Saudi Arabia,0.0169491525423728,0.0333333333333333,0.4915254237288136
Ukraine,0.0163934426229508,0.0227272727272727,0.3770491803278688
India,0.0161290322580645,0.0220588235294117,0.4193548387096774
Romania,0.0151515151515151,0.1666666666666666,0.0
Indonesia,0.0149253731343283,0.0238095238095238,0.0597014925373134
Germany,0.0138888888888888,0.0232558139534883,0.3333333333333333
Spain,0.0128755364806866,0.0319148936170212,0.2832618025751073
Denmark,0.0128205128205128,0.0384615384615384,0.2179487179487179
Finland,0.0121951219512195,0.024390243902439,0.3536585365853658
Serbia,0.0120481927710843,0.0476190476190476,0.1566265060240964
