pc,explained_variance_ratio,cumulative,label_expanded,admissible,interpretable,governance_frame,policy_instrument,education_role,signal_class,reporting_priority,evidence_terms,analytic_note,note,signal_type,dissertation_relevance
PC1,0.0035484752853842,0.0035484752853842,English AI-policy backbone (AI/data/digital/research/education) vs multilingual/noise tail,Y,Y,,strategy_plan,context,mixed,primary,,"Positive loadings reflect generic AI governance discourse (AI/data/digital/research/education/skills). Negative side is dominated by multilingual fragments and numeric patterns, indicating residual language/format variance rather than a policy mechanism.",Dominant policy vocabulary; negative side contains multilingual fragments and numeric artefacts,Generic AI-strategy lexicon vs multilingual fragments/numeric artefacts,Baseline axis for the corpus: separates core AI-policy vocabulary from multilingual/noise tails; useful for normalization and robustness checks.
PC2,0.0148970963004054,0.0184455715857897,AI systems + skills/education framing vs US defense header artefacts,Y,Y,,institutional_governance,object,mixed,primary,,"Positive side bundles AI systems, skills, education, ethics, sector/industry and ministry language—substantive. Negative side is dominated by defense/congressional formatting tokens (xml/section/subsection/secretary), indicating genre artefacts.",Substantive skills/education governance contrasted against US email/header-like boilerplate,AI systems + skills/education framing vs US defense/congressional header boilerplate,"Captures a key education-facing governance frame (skills, AI systems, ethics) while flagging contamination from defense/legal document genres."
PC3,0.008031197007574,0.0264767685933638,XML/appdata/formatting artefact component,Y,N,,institutional_governance,incidental,formatting_artefact,exclude,,Positive loadings are xml/rcp/appdata/user-path strings typical of exports; negative includes defense/legal boilerplate. Treat as formatting noise (filter/strip or downweight).,"Markup/export noise (xml, rcp, appdata)",XML/export/OS-path residue component,Quality-control dimension: identifies extraction/export contamination that should be excluded from substantive interpretation.
PC4,0.0078565573010587,0.0343333258944225,School infrastructure modernization via SmartLabs/PnRR programmes,Y,Y,,procurement_infrastructure,object,substantive,secondary,,"Strong association with high school/SmartLabs/technology/equipment framing. Negative side contrasts with US defense/legal boilerplate, reinforcing this as an education-infrastructure programme cluster.",Education modernization framed through equipment/lab investment programmes,School lab/infrastructure modernization programmes (SmartLabs / PNRR-style equipment investment),Concrete ‘education-as-infrastructure’ mechanism: modernization via equipment/labs and capital investment programmes.
PC5,0.0066346294512717,0.0409679553456943,AI risk + personal data protection + SmartLabs programme packaging,Y,Y,,law_regulation,context,substantive,secondary,,"Positive side links AI systems, risk, assessment, personal data, rights—classic privacy/risk governance. Education terms appear alongside programme markers (e.g., SmartLabs) indicating implementation bundles where education is a venue for governance.",Education appears inside risk/privacy governance and programme implementation language,Privacy/data protection + AI risk governance packaged with education programme implementation language,"Shows how education appears inside broader AI-risk and data-protection governance, often via programme packaging rather than pedagogy."
PC6,0.0060025714225469,0.0469705267682413,US defense R&D/talent pipeline discourse with AI education references,Y,N,,funding_budget,incidental,genre_boilerplate,exclude,,Dominated by US defense/appropriations/talent-program language. Education appears as incidental (students/programs) within defense R&D context; not an education-governance mechanism.,Primarily US defense/appropriations genre; education appears as incidental,US defense R&D/talent pipeline appropriations genre with incidental education mentions,Primarily a non-education governance genre; keep only as a document-type contaminant check.
PC7,0.0048073353483667,0.051777862116608,EU AI Act-style compliance vocabulary artefact (tokenization),Y,N,,law_regulation,incidental,formatting_artefact,exclude,,"Fragmented tokens (ar ticle, cybersecur ity, mity) indicate OCR/tokenization splitting. Underlying theme is compliance/regulation, but text corruption makes it non-interpretable.","Fragmented compliance terms (ar ticle, cybersecur ity) suggest OCR/token splitting",Token-splitting/OCR artefact over EU AI Act compliance vocabulary,Extraction artefact dimension; warns that compliance terms have been fragmented and should not be treated as clean conceptual signals.
PC8,0.004525814252544,0.056303676369152,Academic/scientific web-citation footprint vs classroom implementation vocabulary,Y,N,,standards_guidance,incidental,genre_boilerplate,exclude,,"Positive side dominated by https/www/years/institutional citation patterns, suggesting bibliographic sections or scraped pages. Negative side aligns with classroom/skills terms. Treat as format/genre.",Dominated by URLs/citations/years; weak substantive interpretability,Web-citation / academic-bibliographic footprint vs implementation vocabulary,Document-format axis; separates heavily cited/URL-heavy texts from implementation discourse; use for cleaning not theory.
PC9,0.0040168011859881,0.0603204775551402,Research funding/accounting metrics and programme totals,Y,Y,,funding_budget,context,substantive,secondary,,"Positive loadings are funding/program totals, counts, allocations; negative contrasts against AI-strategy lexicon. Interpretable as ‘governance through metrics and budgets.’","Governance via funding allocations, counts, programme growth","Research funding totals, programme counts, allocation/accounting governance",Shows budgeting and resource-allocation as a governance mechanism; education appears via research/innovation system funding and capacity metrics.
PC10,0.0037802638575631,0.0641007414127033,Mixed statutory drafting vocabulary vs AI/digital policy vocabulary,Y,N,,law_regulation,incidental,genre_boilerplate,exclude,,"Positive side has ‘section/subsection/committee/striking/inserting’—drafting mechanics. This is structural text, not an education or AI governance construct.",Legislative amendment structure dominates; treat as genre,Statutory drafting/amendment mechanics vs policy vocabulary,Non-substantive legislative drafting axis; keep only for genre control.
PC11,0.0036940097285764,0.0677947511412798,"AI assurance/quality framework (external quality, learning elements)",Y,Y,,standards_guidance,instrument,substantive,primary,,"Positive loadings cluster around external quality, learning elements, requirements, safety—suggesting assurance regimes. Negative side is mainly publication/URL footprints; still substantively coherent overall.",Quality assurance framing applicable to education-related AI systems,"AI assurance/quality frameworks (external quality, learning elements, safety/requirements)","Directly relevant to AI-in-education governance: quality assurance, evaluation elements, and safety requirements are central institutional mechanisms."
PC12,0.003505553788558,0.0713003049298378,Serbia-style science/innovation ministry programme governance,Y,Y,,institutional_governance,context,substantive,secondary,,"Positive side emphasizes ministry, scientific research, funding, programmes, universities. Education is present as part of national research/innovation governance rather than schooling policy.",Scientific research and ministry programme administration,Science/innovation ministry programme governance (Serbia-style research administration),Institutional arrangement signal: governance by ministries and research programmes where education is embedded via universities/research systems.
PC13,0.0033577300087283,0.0746580349385661,UK/Australia guidance + external quality + web footprints,Y,Y,,standards_guidance,instrument,mixed,secondary,,"Positive side mixes QA/guidance terms (external quality, safety, review, requirements) with URL-heavy fingerprints. Treat as interpretable but mixed; cross-check with document sources.",Guidance and QA language present though mixed with URLs,Guidance + QA language with strong UK/Australia web/document fingerprints,"Useful for identifying ‘guidance-led governance’ (standards, QA) though partially mixed with web artefacts."
PC14,0.0032005204377573,0.0778585553763235,US congressional conference/contained-provision boilerplate,Y,N,,law_regulation,incidental,genre_boilerplate,exclude,,"Dominated by conference report mechanics (‘contained provision’, ‘recedes’, ‘conferees’). Exclude from substantive education interpretation.",Legislative reconciliation genre; not conceptually meaningful for education,Congressional conference ‘contained provision’ reconciliation boilerplate,Document-genre contaminant; not a conceptual governance dimension for education.
PC15,0.0029859960720232,0.0808445514483468,Education + machine learning + statutory drafting blend,Y,Y,,law_regulation,context,mixed,secondary,,Positive side shows education/students/ML/skills combined with drafting tokens; negative side is rights/liability/risk/legal framing. Interpretable as legal embedding of education/skills rather than education policy per se.,Education and skills embedded in broader governance/legal framing,Education/skills + ML terms blended into statutory drafting and compliance language,Illustrates how education and skills are legislated indirectly via broader governance/legal frameworks.
PC16,0.0026403635258509,0.0834849149741977,Education + data protection/legal rights (privacy law embedding),Y,Y,,law_regulation,context,substantive,primary,,"Strong blend of education/schools/university with personal data, processing, protection, rights, legal terms. This is a substantive ‘rights-based governance’ axis where education is a regulated setting.","Education embedded via privacy, processing, rights and institutional contexts",Education institutional context within privacy/data-protection and rights-based governance,High relevance: demonstrates education’s governance coupling to privacy/processing/rights regimes (data protection in schools/universities).
PC17,0.00253637960044,0.0860212945746377,Digital transformation + EU QA + security + translation artefacts,Y,Y,,strategy_plan,context,mixed,secondary,,"Positive side includes transformation, EU/QA/security, translated-google markers; negative side includes decision-making/bias/children and education actors. Treat as mixed: transformation discourse + noisy extraction.",Transformation/QA/security governance with some translation noise,Digital transformation + EU QA/security vocabulary with translation and citation noise,"Captures transformation framing that often drives education reform, but requires caution due to translation/URL contamination."
PC18,0.0023768811285776,0.0883981757032154,Cybersecurity + human rights/privacy institutional bios,Y,N,,institutional_governance,incidental,genre_boilerplate,exclude,,Dominated by professor/director/institute/department bios and submissions. Exclude from substantive PCA interpretation; strip author/affiliation blocks upstream if possible.,Bio/affiliation style text dominates; limited education interpretability,Institutional bios/affiliations (cyber/privacy/human rights) rather than policy text,Not a governance construct; indicates biography/attribution sections contaminating the corpus.
PC19,0.0022922224852266,0.0906903981884421,Ministry/implementation/pilot programme administration,Y,Y,,program_implementation,instrument,substantive,secondary,,"Positive side emphasizes ministry, implementation, pilot program, activities, assessment, public administration. Education appears as a governed sector through implementation structures.","Policy enacted through pilots, programmes, ministry implementation",Ministry-led pilots and programme implementation (education/ministry execution mechanisms),Implementation mechanism signal: pilots/programmes as governance tools affecting education systems.
PC20,0.0021897552035157,0.0928801533919578,Public services + ministry education + generative AI governance packaging,Y,Y,,institutional_governance,context,substantive,secondary,,Positive side includes government/public/services/health plus ministry education and generative AI. Negative side is recognition/assessment jargon—suggesting a distinct administrative cluster.,Generative AI appears inside public-service and ministry governance language,Public services governance with ministry-education coupling and GenAI packaging,Shows cross-sector packaging: generative AI appears within public-service governance where education is an administrative portfolio.
PC21,0.0020244158819315,0.0949045692738893,Official recognition/assessment frameworks (IDPS/TARF/TAAF),Y,N,,institutional_governance,incidental,mixed,exclude,,Dominated by recognition/assessment-level jargon and authority markers; education appears mainly as a generic sector reference. Exclude for dissertation claims unless re-grounded with document provenance.,Highly domain-specific recognition jargon; education link unclear,Official recognition/assessment frameworks (IDPS/TARF/TAAF) with weak education linkage,Too domain-specific without clear education mechanism; keep only if later mapped to known countries/documents where this is central.
PC22,0.0020037238444032,0.0969082931182925,University/health/services/admin mix incl. GenAI,Y,N,,institutional_governance,incidental,mixed,exclude,,Mixes university/health/services/center/admin and GenAI. Education is present as institutional setting but not the object; treat as mixed and low-precision.,Cross-domain mix (health/services/university); treat cautiously,University/health/services administrative mix with GenAI references,Cross-domain administrative cluster; not cleanly education-governance unless filtered to specific subcorpus.
PC23,0.0019924136577462,0.0989007067760387,Risk/reporting/security + coast guard genre contamination,Y,N,,law_regulation,incidental,genre_boilerplate,exclude,,Dominated by coast/guard/vessel/transport/risk/reporting language. This is a sectoral contamination axis rather than education governance.,Transport/maritime/coast guard dominates; not education,Transport/maritime/coast-guard risk-reporting genre contamination,Non-education domain signal; exclude from education interpretation.
PC24,0.0019190625727697,0.1008197693488085,EU health/tech methods + model/tool governance,Y,Y,,standards_guidance,context,mixed,secondary,,Emphasizes models/methods/tools/risk/liability and EU/horizon-like vocabulary. Education appears embedded; interpret as general AI governance tooling rather than education-specific policy.,Governance language around models/methods/tools; education appears embedded,"EU-style methods/models/tools governance (risk, liability, scientific methods) with cross-sector embedding",Relevant as ‘governance of AI methods/tools’ that can apply to education; but education is not consistently the object.
PC25,0.0018940666007892,0.1027138359495978,Decision-making + liability + digital skills (governance of automated decisions),Y,Y,,law_regulation,context,substantive,primary,,Pairs decision-making/liability/standards with digital skills and institutional actors. This is a substantive accountability axis; education is a high-stakes venue where these rules land.,Substantive: liability and decision-making governance intersects education,Automated decision-making accountability (liability/decision-making) + skills framing,"Strong relevance: accountability for automated decisions intersects schooling (student decisions), higher ed admissions, and educational services procurement."
PC26,0.0018657829996393,0.1045796189492372,Health + recognition/assessment + GenAI + defense mix,Y,N,,institutional_governance,incidental,mixed,exclude,,Combines health/authority/assessment frameworks with defense and GenAI references. Education appears via ministry education but not coherently; classify as mixed and exclude for primary reporting.,Cross-domain cluster; interpret only if you later subset by country/doc type,Health + recognition/assessment + GenAI + defense blending (cross-domain cluster),Too blended to support clean education claims; use only if later stratified by document type/country.
PC27,0.001797734615292,0.1063773535645292,Spanish-language digital transformation + decision-making/liability,Y,Y,,strategy_plan,context,substantive,secondary,,"Coherent Spanish governance lexicon (transformación digital, decisión, responsabilidad) indicating non-English but interpretable policy framing. Education is contextual rather than central.",Non-English but substantively coherent governance theme,Spanish-language digital transformation + decision/liability governance framing,Shows multilingual substantive governance: transformation and accountability discourse that can structure education policy reform.
PC28,0.0017523707359391,0.1081297243004683,Health/cybersecurity + liability/damages (accountability governance),Y,Y,,law_regulation,incidental,substantive,secondary,,"Liability/damage/security/cyber/healthcare cluster. Education appears indirectly (skills, institutions) but the mechanism is accountability for harm; keep as secondary.",Accountability and harm/liability framing; education appears indirectly,Health/cybersecurity harms + liability/damages accountability framing,Accountability mechanism relevant to education when education is treated as a service sector exposed to cyber risk and harm frameworks.
PC29,0.0017278363691009,0.1098575606695693,Liability/damages + schooling/teachers standards,Y,Y,,law_regulation,object,substantive,primary,,Strong coupling of liability/damages with schooling/teachers/standards. This is education-relevant accountability: how rules assign responsibility when harms occur in educational settings.,Education embedded in liability/standards discourse,Liability/damages + school/teacher standards (education embedded in accountability regimes),"Directly relevant: governance of schooling via standards, fault, and liability regimes affecting teachers/schools and decision systems."
PC30,0.0017050505818556,0.1115626112514249,Cybersecurity + jobs/workforce + GenAI + ministry packaging,Y,Y,,strategy_plan,instrument,substantive,primary,,"Clusters ministry, skills, training, jobs/workers, cybersecurity, GenAI. Education appears as the instrument for workforce capacity and economic/security objectives.",Workforce and labor-market framing where education is embedded,Cybersecurity + jobs/workforce + GenAI + ministry packaging (skills pipeline governance),Core ‘education-as-workforce pipeline’ mechanism: training/skills policy tied to cyber and GenAI labor markets.
PC31,0.001683843949921,0.113246455201346,Generative AI tools + policy innovation + protection framing,Y,Y,,standards_guidance,instrument,substantive,primary,,Pairs generative AI tools with policy/innovation and privacy/protection vocabulary; includes programme/learning/online cues. Interpretable as ‘tool-governance with protective constraints.’,GenAI governance with privacy/protection and online learning references,GenAI tools governance + innovation + privacy/protection (online/learning references present),"High relevance: governance of GenAI tools, protections, and guidance intersects education adoption and acceptable use regimes."
PC32,0.0016180028747294,0.1148644580760755,National pilot + risk + funding (NAIRR/NSF) + processing,Y,Y,,funding_budget,instrument,mixed,secondary,,"Dominated by pilot programs, funding, national infrastructure terms (NAIRR/NSF) plus processing/risk. Education not central but present via institutional participation; mixed but usable.",Capacity-building governance via pilots and national infrastructure,National pilots + risk + funding infrastructure (NAIRR/NSF-like) with processing governance,Capacity-building mechanism: national AI infrastructure and pilots that can enable education-sector experimentation and research.
PC33,0.0015931746049292,0.1164576326810047,Skills/training + ethics/privacy + armed forces/workforce,Y,Y,,strategy_plan,instrument,mixed,secondary,,"Combines skills/training, ethics/privacy, workforce and security/armed forces tokens. Education is instrumental (training) rather than the object; mixed due to defense presence.",Workforce + ethics governance; education appears as skills pipeline,Skills/training + ethics/privacy + security/armed forces workforce framing,Education-as-skills pipeline under security/ethics framing; relevant for how states justify training initiatives affecting curricula.
PC34,0.0015738520615845,0.1180314847425892,Serbia liability/damages + scientific development programmes,Y,Y,,law_regulation,context,substantive,secondary,,Links liability/damages with scientific development programmes and implementation cues. Education is contextual through national development governance rather than schooling.,Accountability + development-programme governance,Liability/damages + scientific/technological development programme governance (Serbia-like),Accountability + development-program governance: relevant where education institutions participate in national innovation systems and liability regimes.
PC35,0.0015256842703106,0.1195571690128999,Country risk/impact assessments + digital tech + bias,Y,Y,,standards_guidance,context,mixed,secondary,,Risk/impact/bias/assessment language with country/programme fingerprints. Education appears via institutional actors; treat as mixed (substantive evaluation theme + contextual noise).,Risk framing with bias/assessment language; education embedded,Risk/impact assessment + bias framing tied to country/programme context,Supports dissertation themes on evaluation and bias as governance concerns that often surface in education adoption debates.
PC36,0.00150337465191,0.1210605436648099,Token-split compliance/product requirements + aviation cyber,Y,N,,law_regulation,incidental,formatting_artefact,exclude,,"Heavily fragmented tokens (‘digital elements’, ‘cybersecur ity’, split words) indicate OCR/token splitting. Underlying is product/compliance requirements, but corrupted beyond reliable interpretation.",Severe token splitting suggests OCR artefact; not cleanly interpretable,Token-split compliance/product requirements (aviation cyber) with severe text corruption,Extraction artefact; exclude from substantive claims.
PC37,0.0014665452861857,0.1225270889509957,GenAI + privacy + facial recognition + programme governance,Y,Y,,law_regulation,context,mixed,primary,,"Combines generative AI programme language with privacy and facial recognition. Some compliance token-splitting appears, but substantive surveillance/privacy governance is clear enough for primary reporting.",Surveillance/privacy governance intersects education via programme contexts,GenAI + privacy + facial recognition + programme governance (surveillance/accountability intersection),"High relevance: surveillance/privacy governance intersects education as a sensitive environment (students, campuses) and often drives restrictive policies."
PC38,0.0014449193331909,0.1239720082841867,Geopolitics + liability/damages + processing governance,Y,Y,,institutional_governance,incidental,mixed,secondary,,Mixes cross-national/security actors with liability/processing and damage framing. Education is not central; treat as secondary context about how security geopolitics co-travels with governance language.,Cross-national governance framing; education not central but embedded,Geopolitics + liability/damages + processing/security governance (cross-national framing),Contextual governance axis: geopolitical/security framing that shapes sectoral policy narratives including education indirectly.
PC39,0.001415307101129,0.1253873153853157,Cybersecurity programmes/pilots/projects + institutionalization,Y,Y,,program_implementation,instrument,substantive,primary,,Strong program/pilot/project/institute vocabulary with cybersecurity/security. Education appears through training/programmes and institutional capacity-building—highly usable.,Education embedded through training/programmes and institutional capacity,Cybersecurity programmes/pilots/projects + institutionalization mechanisms,"Direct mechanism for education-sector capacity building: training programmes, pilots, and institutional infrastructure for cyber/AI governance."
PC40,0.0013932613625905,0.1267805767479063,Task force/strategy/action plan + national AI infrastructure + aviation,Y,Y,,institutional_governance,instrument,substantive,primary,,"Positive side emphasizes task force, strategy, action, policy, national resources/infrastructure. Negative side includes higher-education/risk/innovation terms—indicating a coordination axis where education is a governed portfolio.",Coordination mechanisms and strategy governance; education appears as subtheme,Task forces/strategy/action plans + national AI infrastructure coordination,"Core governance mechanism: coordination structures (task forces, action plans) that drive cross-sector implementation including education."
