doc_id,country,title,raw_path
1fda09b5e2732a41,Thailand,"Thailand - Higher Education, Science, Research and Innovation Policy Council Act (TRANSLATED) (2019)","data/raw/corpus_raw/AI Policies/Thailand/Thailand - Higher Education, Science, Research and Innovation Policy Council Act (TRANSLATED) (2019).pdf"
a8b71b293cc039a9,Belgium,Smart Education @ Schools,data/raw/corpus_raw/AI Policies/Belgium/Smart Education @ Schools.pdf
0c82085d4e310adb,China,China - AI innovation action plan for institutions of higher education (2018),data/raw/corpus_raw/AI Policies/China/China - AI innovation action plan for institutions of higher education (2018).pdf
c4ff9acdbf7b94e7,China,China - Beijing consensus on artificial intelligence and education (2019),data/raw/corpus_raw/AI Policies/China/China - Beijing consensus on artificial intelligence and education (2019).pdf
24f42dcab07403a9,European Union,EU - Shaping digital education policy (2020),data/raw/corpus_raw/AI Policies/European Union/EU - Shaping digital education policy (2020).pdf
7dcbb8504da1624b,European Union,EU - Digital education action plan (2020),data/raw/corpus_raw/AI Policies/European Union/EU - Digital education action plan (2020).pdf
f7fbabbf6f475c99,Malta,AI for Education pilot project,data/raw/corpus_raw/AI Policies/Malta/AI for Education pilot project.pdf
edf01fc79ee92959,Türkiye,Türkiye - Safe Schooling and Distance Education Project (2024),data/raw/corpus_raw/AI Policies/Türkiye/Türkiye - Safe Schooling and Distance Education Project (2024).pdf
3712e3e3a67c986e,Czech Republic,Czech Republic - Digital Education Strategy until 2020 (TRANSLATED) (2013),data/raw/corpus_raw/AI Policies/Czech Republic/Czech Republic - Digital Education Strategy until 2020 (TRANSLATED) (2013).pdf
1d5d294d5de8e299,United States,USA - United States Releases New Federal STEM Education 5-year Strategic Plan (2018),data/raw/corpus_raw/AI Policies/United States/USA - United States Releases New Federal STEM Education 5-year Strategic Plan (2018).pdf
b03073832e558af6,United States,"Empowering Education Leaders A Toolkit for Safe, Ethical, and Equitable AI Integration","data/raw/corpus_raw/AI Policies/United States/Empowering Education Leaders A Toolkit for Safe, Ethical, and Equitable AI Integration.pdf"
2154e84ccbd12627,Ukraine,Translated - Instructional and Methodological Recommendations Regarding the Introduction and Use of Artificial Intelligence Technologies in General Secondary Education Institutions,data/raw/corpus_raw/AI Policies/Ukraine/Translated - Instructional and Methodological Recommendations Regarding the Introduction and Use of Artificial Intelligence Technologies in General Secondary Education Institutions.pdf
