,PC1,PC2,PC3,PC4,PC5
n_docs,-0.26377920037729596,0.3449553583332332,-0.010736985469120467,0.019926214218859154,0.0029082603318946435
n_statements,-0.25704472825750807,0.36756559831537355,-0.031338068261524396,-0.048844208876275566,-0.02662955630989171
statements_per_doc,-0.08398717970436179,0.11639165398970834,0.007439536169730363,-0.05957832448891117,-0.22974423940699973
n_strategy_share,0.3094306354890701,0.17205787586510535,-0.11144977227438414,-0.16632544955803788,-0.2477194726284756
n_norm_share,-0.2981432563816735,-0.1506531833270985,0.13982963036094506,0.17924793103264883,0.30398894758168254
n_rule_share,-0.2959619321462285,-0.24670697443954936,-0.08725543879239377,-0.005830172522362346,-0.28912135490663726
rule_to_norm_ratio,-0.22540550640703633,-0.22184667312717612,-0.09739496547114729,-0.08476365395191685,-0.45295152206347944
rule_to_strategy_ratio,-0.16397420279087158,-0.19940419650492489,-0.14598156563248324,-0.13770704850133972,0.2322785213730961
pct_a_explicit,-0.14196975906666784,-0.11852364866624647,0.47095171423201193,0.010302350013693805,-0.013882209869368443
pct_a_inferred,0.0,0.0,-0.0,-0.0,-1.1102230246251565e-16
pct_a_conjoined,0.1353854661535644,0.0625151642144741,-0.3999403358304763,0.1229116132256877,-0.019719877993227244
mean_c_count,-0.1900331604273724,-0.18003943397559835,-0.34509648423310996,-0.1691456194463398,0.10432412160197567
pct_b_found,-0.029019081302612305,-0.011847437298775644,-0.091983493585952,0.6391089000438456,-0.09952869530731043
pct_o_local_present,-0.26023797690485795,-0.2362297978076407,-0.10383984816483212,0.028451777546275092,-0.37818787610704435
pct_i_conjoined,-0.0537090310853606,-0.014793979718501828,-0.2196319484593881,0.13194786261277472,0.461926850682628
pct_a_raw_present,-0.14384325763211095,-0.12044605670401129,0.4697740748008573,0.009511179972945706,-0.014048530192334128
pct_b_text_present,-0.029019081302612316,-0.011847437298775644,-0.09198349358595201,0.6391089000438457,-0.09952869530731057
pct_c_text_present,-0.17995803755187717,-0.1711817073273359,-0.3549914193159956,-0.15940216569523685,0.08036783616778174
dclass_obligation,-0.268055102474243,0.3435845333464503,-0.04578850327911861,-0.03720110806528658,0.009411864264244342
dclass_permission,-0.27156092733363296,0.34070383707891694,0.00458231464597636,0.0025903658188036424,-0.046334328409775784
dclass_prohibition,-0.2872989664474662,0.3347317325803081,-0.03394887374319618,-0.02373686641591864,-0.003246225125466374
strong_deontic_share,-0.28153873854236017,-0.18317262089521838,0.04129291238895822,-0.03569587059074003,0.2311587433306921
