country,cluster_id,strategic_orientation_index,n_strategy_share,n_norm_share,n_rule_share
Malaysia,0,2.420226094028045,0.9285714285714286,0.0,0.0
Armenia,0,2.360355030647868,0.9166666666666666,0.0833333333333333,0.0
Türkiye,0,2.2627815711129444,0.8972651605231867,0.0959571938168846,0.0016646848989298
Uzbekistan,0,1.9853731073720216,0.8421052631578947,0.0526315789473684,0.0
Romania,0,1.4989939529722556,0.7453936348408711,0.2345058626465661,0.0067001675041876
Slovakia,0,1.4959665530965616,0.7447916666666666,0.2222222222222222,0.0069444444444444
United Arab Emirates,0,1.4583572489172598,0.7373134328358208,0.217910447761194,0.0059701492537313
Belgium,0,1.3632806139619025,0.7184083952776563,0.2525142107564495,0.0080891998250983
Morocco,0,1.1701182906499483,0.68,0.32,0.0
Czech Republic,0,1.168019680499871,0.6795827123695977,0.2846497764530551,0.007451564828614
Russia,0,1.1556848002135427,0.6771300448430493,0.2645739910313901,0.0134529147982062
Ireland,0,1.044860039603384,0.6550936500685245,0.3019643672910004,0.0050251256281407
Serbia,0,1.0376756069073192,0.6536650975117687,0.3073301950235373,0.0100874243443174
Poland,0,1.0132561045938844,0.6488095238095238,0.2976190476190476,0.0178571428571428
Portugal,0,0.935552576140826,0.633358954650269,0.3182167563412759,0.0092236740968485
