country,source_doc,chunk_file,path,bytes
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk001.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk001.txt,6666
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk002.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk002.txt,6664
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk003.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk003.txt,6260
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk004.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk004.txt,6373
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk005.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk005.txt,6568
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk006.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk006.txt,6630
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk007.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk007.txt,7053
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk008.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk008.txt,6747
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk009.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk009.txt,6709
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk010.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk010.txt,6742
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk011.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk011.txt,6349
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk012.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk012.txt,6239
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk013.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk013.txt,6403
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk014.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk014.txt,6215
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk015.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk015.txt,6434
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk016.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk016.txt,6977
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk017.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk017.txt,6426
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk018.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk018.txt,6460
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk019.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk019.txt,6400
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk020.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk020.txt,6257
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk021.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk021.txt,6373
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk022.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk022.txt,6308
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk023.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk023.txt,6478
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk024.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk024.txt,6457
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk025.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk025.txt,6799
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk026.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk026.txt,6122
egypt,Egypt - Egypt National AI Strategy (2022).txt,Egypt - Egypt National AI Strategy (2022)_chunk027.txt,data/chunks/egypt/Egypt - Egypt National AI Strategy (2022)_chunk027.txt,53
egypt,Egypt - Egyptian Charter for Responsible AI (2023).txt,Egypt - Egyptian Charter for Responsible AI (2023)_chunk001.txt,data/chunks/egypt/Egypt - Egyptian Charter for Responsible AI (2023)_chunk001.txt,6519
egypt,Egypt - Egyptian Charter for Responsible AI (2023).txt,Egypt - Egyptian Charter for Responsible AI (2023)_chunk002.txt,data/chunks/egypt/Egypt - Egyptian Charter for Responsible AI (2023)_chunk002.txt,6904
egypt,Egypt - Egyptian Charter for Responsible AI (2023).txt,Egypt - Egyptian Charter for Responsible AI (2023)_chunk003.txt,data/chunks/egypt/Egypt - Egyptian Charter for Responsible AI (2023)_chunk003.txt,3661
egypt,Egypt - Etisalat establishes the first center for artificial intelligence applications in the Smart Village (TRANSLATED) (2019).txt,Egypt - Etisalat establishes the first center for artificial intelligence applications in the Smart Village (TRANSLATED) (2019)_chunk001.txt,data/chunks/egypt/Egypt - Etisalat establishes the first center for artificial intelligence applications in the Smart Village (TRANSLATED) (2019)_chunk001.txt,8144
egypt,Egypt - National Council for Artificial Intelligence (2019).txt,Egypt - National Council for Artificial Intelligence (2019)_chunk001.txt,data/chunks/egypt/Egypt - National Council for Artificial Intelligence (2019)_chunk001.txt,2435
egypt,Egypt - Prime Minister issues decision to establish National Council for Artificial Intelligence (TRANSLATED) (2019).txt,Egypt - Prime Minister issues decision to establish National Council for Artificial Intelligence (TRANSLATED) (2019)_chunk001.txt,data/chunks/egypt/Egypt - Prime Minister issues decision to establish National Council for Artificial Intelligence (TRANSLATED) (2019)_chunk001.txt,8882
egypt,Egypt - Sharm el Sheikh Declaration (2019).txt,Egypt - Sharm el Sheikh Declaration (2019)_chunk001.txt,data/chunks/egypt/Egypt - Sharm el Sheikh Declaration (2019)_chunk001.txt,7172
egypt,Egypt - Sharm el Sheikh Declaration (2019).txt,Egypt - Sharm el Sheikh Declaration (2019)_chunk002.txt,data/chunks/egypt/Egypt - Sharm el Sheikh Declaration (2019)_chunk002.txt,6724
egypt,Egypt - Sharm el Sheikh Declaration (2019).txt,Egypt - Sharm el Sheikh Declaration (2019)_chunk003.txt,data/chunks/egypt/Egypt - Sharm el Sheikh Declaration (2019)_chunk003.txt,652
egypt,Egypt - The Council of Arab Ministers of Communications and Information Technology adopts the Egyptian proposal to form an Arab working group for artificial intelligence (TRANSLATION) (2019).txt,Egypt - The Council of Arab Ministers of Communications and Information Technology adopts the Egyptian proposal to form an Arab working group for artificial intelligence (TRANSLATION) (2019)_chunk001.txt,data/chunks/egypt/Egypt - The Council of Arab Ministers of Communications and Information Technology adopts the Egyptian proposal to form an Arab working group for artificial intelligence (TRANSLATION) (2019)_chunk001.txt,6825
egypt,Egypt - The Council of Arab Ministers of Communications and Information Technology adopts the Egyptian proposal to form an Arab working group for artificial intelligence (TRANSLATION) (2019).txt,Egypt - The Council of Arab Ministers of Communications and Information Technology adopts the Egyptian proposal to form an Arab working group for artificial intelligence (TRANSLATION) (2019)_chunk002.txt,data/chunks/egypt/Egypt - The Council of Arab Ministers of Communications and Information Technology adopts the Egyptian proposal to form an Arab working group for artificial intelligence (TRANSLATION) (2019)_chunk002.txt,700
